size,Triton,Torch,Matmul
256.000000,5.796243,5.674236,5.551522
512.000000,26.504537,24.828521,25.863011
1024.000000,106.567475,67.829176,107.381057
2048.000000,161.434960,149.663495,161.267957
4096.000000,173.566276,168.299368,173.192877
